time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1.77271e+09,0.3026,-0.033242,1.13696,-0.00534608,-0.0554047,-0.189086,0.302222,-0.0313585,1.14239,-0.44,0.006,0.228,0.496
1.77271e+09,0.3026,-0.033242,1.13696,-0.00534608,-0.0554047,-0.189086,0.302222,-0.0313585,1.14239,-0.44,0.006,0.228,0.496
1.77271e+09,0.302573,-0.0332135,1.13389,-0.00730132,-0.0567687,-0.182756,0.302222,-0.0313585,1.14239,-0.44,0.006,0.228,0.496
1.77271e+09,0.302573,-0.0332135,1.13389,-0.00730132,-0.0567687,-0.182756,0.302222,-0.0313585,1.14239,-0.44,0.006,0.228,0.496
1.77271e+09,0.30253,-0.0331786,1.12558,-0.00588642,-0.0507858,-0.181003,0.302156,-0.0313652,1.12404,-0.44,0.008,0.234,0.495
1.77271e+09,0.302541,-0.0330684,1.11798,-0.0100976,-0.0578045,-0.180281,0.302156,-0.0313652,1.12404,-0.44,0.008,0.234,0.495
1.77271e+09,0.302541,-0.0330684,1.11798,-0.0100976,-0.0578045,-0.180281,0.302156,-0.0313652,1.12404,-0.44,0.008,0.234,0.495
1.77271e+09,0.3025,-0.0330463,1.1141,-0.00898761,-0.0564588,-0.188111,0.302156,-0.0313652,1.12404,-0.44,0.008,0.234,0.495
1.77271e+09,0.3025,-0.0330463,1.1141,-0.00898761,-0.0564588,-0.188111,0.302156,-0.0313652,1.12404,-0.44,0.008,0.234,0.495
1.77271e+09,0.30235,-0.0331542,1.10721,-0.00484415,-0.0513942,-0.17101,0.302227,-0.0312301,1.10419,-0.44,0.004,0.222,0.497
1.77271e+09,0.302192,-0.0331129,1.09962,-0.00855111,-0.0527136,-0.181319,0.302227,-0.0312301,1.10419,-0.44,0.004,0.222,0.497
1.77271e+09,0.302192,-0.0331129,1.09962,-0.00855111,-0.0527136,-0.181319,0.302227,-0.0312301,1.10419,-0.44,0.004,0.222,0.497
1.77271e+09,0.302256,-0.033083,1.09583,-0.00248798,-0.0553302,-0.179773,0.302227,-0.0312301,1.10419,-0.44,0.004,0.222,0.497
1.77271e+09,0.302256,-0.033083,1.09583,-0.00248798,-0.0553302,-0.179773,0.302227,-0.0312301,1.10419,-0.44,0.004,0.222,0.497
